Initial Text,Completed Text
"A man with a gray beard, wearing an orange cap","and brown jacket, is smoking a cigarette."
A big dog stands on his hand leg as,tennis balls are thrown his direction.
"The woman, in the blue shirt, is carrying",a broom and a metal dustpan.
A woman wearing handbags standing by a column with artistic painting on,it while a young women takes her picture.
Two girls are riding,a 4 wheeler.
Girl screaming with bows,in her hair.
A woman wearing glasses and an orange dress is standing with,another woman wearing glasses and a green dress.
A shirtless man lies on a,park bench with his dog.
Two girls facing each other one has a skull face bag wearing a red,"and black shirt, the other is wearing a beaded belt."
man in black shirt,standing in the water.
"A man drinking in public, while making",contact with a redheaded girl.
Two guys from opposing soccer teams,after a penalty kick.
Older man in red hat holds,up a sign during protest
A little girl in a red robe,with a basket on her side.
A group of onlookers,conversing with craft vendors
A little boy and a little girl talking and holding the items,they just got from a nearby food cart.
Man inspecting his bicycle,near a road.
A young girl jumping,out of the water
A little boy in a dress,shirt is rubbing his eye.
A team of rugby players in baby blue and white uniforms begin running,towards the goal in front of a packed stadium.
Three older men playing live music,in a grand hall.
A dark-haired woman is gazing,at the city skyline.
A woman and,child walking uphill
A woman sitting on a bench,by a coffee house.
People are,unloading supplies.
A young child in a striped,shirt unwrapping a gift.
Two woman play volleyball,at the beach.
A little girl with dirty feet is eating a snack,from a cup while sitting in a bin.
A red jacketed young man uses a bullhorn to shout,in front of a large protest banner.
A girl dressed in a red polka dot dress,holds an adults hand while out walking.
A man sits in a public,place eating an apple.
A woman and a man twirling in a,dance alone on a wooden floor.
"A man takes a swing of his club, with",sand coming up out of the dune.
A woman wearing a yellow t-shirt laughs while being,entwined in pink white and teal streamers.
A class full of college students sit in,a classroom listening to a presentation.
A man in jeans,reclines while another watches.
A woman and two men walking on a set,of outdoor stairs next to an advertisement.
"Two cyclists competing in road race, one",in front of the other.
A black and brown dog is playing on the,ice at the edge of a lake.
A group of 6 boys are wearing yellow life,vests and are on a makeshift raft.
A brown dog in a pink shirt chews something white,while a brown dog in yellow watches.
A brown dog and a black dog,are playing tug-of-war with a toy.
One man in a rugby uniform is grabbing the,arm of another man holding a football.
A cat sits in a trolley cart,while people pass on the street.
A man hunches over to watch TV in,front of a red brick wall
Presenters speaking,at conference.
"Two girls sitting on the stoop of a building,","sharing a laugh, while one drinks coffee."
A young woman holding a,surfboard contemplates the ocean.
Little boy wanting to,play outside of fence.
"There are three men on set of Sports Center, One man is in a suit with a black jacket top, one is","in a white dress shirt with dress pants, and one is in a brown suit."
A dirt biker covered,in mud racing
"A man on horseback pulls back sharply on the reins while holding a coil of rope, as",he waits to come out of a chute in a rodeo competition.
A street vending machine is parked,while people walk by.
A group of kids playing football,by an old castle.
A man is sitting in the back of his delivery truck,with a giant umbrella that says New Amsterdam.
A blond woman is,brushing a horse.
a tennis player in a green striped shirt is,holding his hand up to his mouth.
Individuals in winter clothing are gathered on a deck with,a body of water in the background.
"A mother, her two children, and their",dog stand on a tropical beach.
Three chefs,sitting outside
A middle-aged couple is at the foreground of a scene,of people walking in a theme park.
The man in sunglasses waited for the green crocodiles' mouth,to open at the miniature golf park.
Five women in red halter tops and short black skirts,stand in front of a sports car.
A tan dog jumps across some,water while another dog watches.
A group of men and women are gathered under,a tree outside of a building.
A man driving a small golf cart down a street with a,crowd watching him on either side of the street.
Scuba diver under the water holding,small crustacean in his hands.
"White, brown, and black dogs running",across a grassy lawn.
A football coach watches,a play being made.
A man in a red jacket holds,his bike for the picture.
"A man with an orange balloon in his mouth, sitting",on a bike that's suspended in the air.
"Two young boys are playing the game ""Twister"" and have placed their",hands and feet on blue and green patches.
Little boy is at,a trampoline place.
An amazingly blossomed red tree with several people sitting,on a couch beneath its flowers.
A man in an apron operating,an open wood stove.
A girl in a red shirt is sticking,her tongue out at the camera.
Palestinians demonstrating at Gaza Street amid strong,sanctions by the Israel government.
A family is having fun in,the water at a beach.
An older man reading a newspaper,by a bike rack.
Watermelons for sale in,a asian market.
There is a hockey player in,the middle of a game.
Two large dogs frolic,in a grassy field.
A young man in a white shirt is laughing in the foreground while,a woman in a black shirt stands in the background.
A man and a woman both wearing blue shirts using a camera to take a picture of,themselves in front of a fountain as a dark-haired woman passes by.
"An ATV rider, speeds around a corner, while sliding and",kicking up dirt-still focused on the trail ahead.
A restaurant worker wearing an orange shirt putting,ketchup and mustard on sandwich bread.
A small boy with a grin on,his face playing with a pipe.
A group of girls playing roller derby while an,audience looks on in the background.
The dog leaps into the,air in a field.
A girl with long dark hair wearing a,yellow and white shirt is smiling.
A child standing and,staring at something.
A group of men,sitting on red chairs.
city workers loading a stencil back into,their truck after painting the ground.
"A crowd of people, with a man",checking his phone facing you.
Cars and tents on a,prairie beneath a mountain.
A little girl putting a red,ball up to her mouth.
A woman pointing at a toy train,set with a toddler looking on.
"A young man wearing a plaid shirt, jeans and hat is riding his","skateboard on the railing of some multicolored, rock stairs."
Woman with puffy jacket looking at soup,items in a grocery store.
A tan dog and larger white,dog run along the grass.
The man is carefully shaving,off his facial hair.
a woman in a black shirt and purple pants,is bending over reaching into a dishwasher.
a woman stamds in the middle,of a brick road.
Two boys eat their McDonalds lunch in an outdoor,seating area surrounded by many other people.
A group of people and children,are walking along a walkway.
The boy is running,through the sprinklers.
Two people are going over a skii jump,while one looks into the camera.
An Asian lady in a red shirt sits alone in a street market,with bowls of fresh vegetables lined in front of her.
The little girl in the pool,is wearing a red swimsuit.
Three men walking next to a tent,with a billboard sign on it.
Two jockeys riding horses are,jumping over a barrier.
A skater is jumping down a,huge staircase on his board.
A man in a blue shirt,and gray pants stands staring.
"A man and a woman are embracing each other facing each other, they both are wearing red clothing, the woman has",a red dress on and the man is wearing a red shirt and black pants.
There is a man looking sideways down,an out of focus street.
People standing outside,a building yell.
A man with plastic,containers and plastic bags.
A man carrying a,bundle of straw.
A group of youngsters plays in,a shady city park.
An older man with glasses working on a craft,with a lot of thin wire.
"A Jewish man wearing glasses, button up long blue",shirt getting desserts on the table
The little girl is riding,in a brown horse.
"A smiling child wearing a swimsuit, swim cap, and",goggles is sitting on a green chair.
The cyclist is airborne on his bike as it makes,a jump between two mounds of earth.
Group of people,in a queue.
People walking,with umbrellas.
A man in a black coat is setting up,his camera to take pictures with.
Man stands on forested hillside,wearing large sunshade hat.
A man is directing a,camel carrying some material.
Two boys in white outfits,are practicing martial arts.
A man is sewing,clothes under an umbrella
A group of people sitting around a,coffee table covered in beer bottles.
Five people are on their yard with two of them climbing,a ladder to a tree in the background.
"Three musicians are seated on chairs,",playing their respective instruments.
A man driving down the street in an old fashioned,fire engine waves at onlookers during a parade.
Young adults are seated at,"a restaurant table, smiling."
A woman holding an infant is,writing on a wall.
"2 guys one is a gymnast whom is performing, the other stretching and","warming up both in red, in a dark room."
Two boys in karate uniforms are,sparring on a padded mat.
"A basketball player in a white jersey with the word price on it,",posting up against another player in a blue uniform.
A boogie boarder surfs on,a man made wave.
Two guys gather around a table,with two girls while drinking.
People playing soccer looking,into the sky.
A little girl in a red jumper crying,with her older sister and mom.
Three women are wearing hats in a sunny,area next to a large rock.
Two women are standing in front of a class,of children talking about a book.
People in China gather,around an exit.
A man rock climbing,in the woods.
The young girl is running,on a sandy beach.
Middle-aged man with brown hair focuses on measuring,substance in beaker in a lab.
Woman in black jacket and blue pants rides,bike on shoulder through construction area.
People swimming in,a public pool.
A well lit concert area occupied by an ensemble,that is currently not playing their instruments.
A young man,playing the guitar.
Man in orange shirt holds ice cream while,standing next to ice cream cart.
A female chef is presenting a pineapple and watermelon that,is graced with a design on each fruit.
The little boy is about to,walk into the sprinklers.
A small girl wearing a pink,outfit brushes a horse.
A man wearing red sunglasses who is sitting down on the side of a,"water fountain talking on this cellphone, in a public place."
"A yellow, suspended roller coaster on a yellow",track is midway through a loop.
A young man is cleaning caulk,from a tiled wall.
A young person competes for the,snowboarding title in their town.
"A young, Asian woman is having a",caricature drawn and colored of herself.
A dog chasing a,ball in snow.
A young boy looking,through tree branches.
Two officers sitting in,a golf cart.
A woman in a light blue fleece jacket poses at the top of,a snowy hill with a range of mountains behind her.
A young boy wearing a red uniform lines,up to kick a soccer ball.
A man on a rough working on,the rough made of straw.
A man is tossing an onion in,the air in the kitchen.
A cement truck is depositing cement,onto a city street.
Two men carrying fishing poles,walking along the beach.
A man with a white hat is sitting at a table listening,to a man sing and play the guitar.
A child climbing up a,set of cement stairs.
Men in orange suits watching a machine dig near,what looks to be subway tracks.
A man jumps into the water,on a sunny day.
A woman with dark hair and a white shirt sitting at a table,holding a young child with shorts and no shirt.
A woman in a gold jacket,waiting in the subway.
A person dressed in jeans running with two dogs,on the shore of a lake.
A woman sells flowers and,incense at the market.
A group of people hanging out,on a backyard deck.
man holding black paper,with white illustration
A person wearing a blue shirt attempts,to catch a wave while surfing.
"Two women, one in a blue uniform, the other in a white one, are competing",in a martial arts match as a referee looks on.
A man and a woman are dancing,"in an outdoor, fire-lit scene."
A woman stands beside a,man with a wheelchair.
A man preparing his gondola,for a short trip.
The race car is,speeding up the hill.
This person is trying,to build something.
A motocross rider wearing a blue,uniform flies through the air.
A young boy wearing a hat made out of,balloons smiles along with his dad.
Large group of police wearing protection next,to a crowd wearing red.
A person wearing a red helmet,riding a white bike.
a little boy wearing a white,jersey kicking a soccer ball
Two people ride a motorbike on a,road in front of stores.
Three dogs racing on,a dirt track
A man in a yellow vest is standing,on the wall above the scaffold.
A woman in white dress is fixing,the flower on a man's suit.
A male vocalist plays guitar and,sings under the spotlight.
"Three men, one with a fishing pole,",are sitting on a sidewalk.
A woman wearing a blue and white uniform with a white and blue hat,on with her mouth open near others dressed the same.
People lined up going,up stairs single file.
Many people walking together on pavement near a brick,building with other people looking on.
This person is in a boat with a display of food,laid out on a platform across the boat.
A man demonstrates how to ride a bicycle with,only the back wheel on the ground.
Women wearing a white tank top and green,pants loading dishes into a dishwasher.
a small girl trots,through the snow.
An older man in a white apron,prepares food outside on the grill.
A little asian girl,banging on pans.
A little boy in a bubble bath,wearing his yellow mask and snorkel.
A fire extinguisher sits on a barricade next to a,racetrack with smoke rising from a truck's hood.
A boy skateboards,down the street.
A man stands in a red shirt and blue jeans facing a man,in black across tracks with an escalator in the background.
A long-haired dog runs across a lawn with,a yellow ball in its mouth.
Asian artist stretches,while painting outdoors.
A man in a white jacket,is holding up a photograph.
A person in a green shirt and,jeans welds a large pipe.
Young child jumping,in the air.
"Woman wearing a black sunhat, black dress and black","Ugg clogs, walking in a city square."
Bananas sit in the foreground of,a busy sidewalk scene.
A woman in a blue colored,dress cutting up fresh pineapple.
A small child bends down to,touch a white dog.
A baseball player in blue tags,a player in red out.
"In the Ikea store, a man",sits on a chair.
"An individual dressed in a blue top and red ""SpongeBob"" shorts with",a handful of papers looks surprised while being photographed.
A flaming red-haired middle-aged woman with pale skin is,standing in front of a brick wall.
A man works on a piece,of wood on a spinner.
A man in a white jacket is checking,the blood pressure of a lady.
A little girl is eating toppings,from an uncooked pizza.
A young woman on the phone is,applying makeup in the mirror.
A man sits at a keyboard under a,sign that says professor Edwardo Alvarado.
A man is standing outside of a,house with a snow shovel.
Students work together,in groups.
Two young girls make funny faces out,of the bubbles in their bath.
The worker in the fluorescent vest is,taking a break and sitting down.
"Two soccer players, one in white, the other in maroon, are playing and",the player in white is going for a header.
A man wearing a black ski,mask is playing a guitar.
A man lights a cigarette on a,loading dock near a dumpster.
A baseball player swings at an oncoming ball while the,catcher gets ready and the umpire looks on.
The girls look sexy walking in their,white shorts and high heels.
Three men in hard hats are having,a discussion on a boat.
A man is standing,and reading a newspaper.
A man in a black coat and blue shirt,is talking on his phone indoors.
A group of people,going up an escalator.
A woman is sitting on the ground in,"front of a stone structure, knitting."
Person in checked shirt riding,unicycle while crowd watches.
A man is wearing a hard hat,and harness in a construction area.
people are looking at a street artists,who has a stall set up
"A man in athletic clothing, bending",down to tie his shoe.
"Some kids are playing pool volleyball with a man wearing a neon shirt,",red hat and a whistle hanging from his neck.
A black and white elderly,gentlemen riding an am-track.
A man with a tuxedo and top hat on stands,in the middle of a busy terminal.
A girl throwing a soccer,ball while sitting down.
An elderly man holds the arms of,a young boy wearing batman trunks.
A sumo wrestler in black begins to push another,in blue out of the ring.
Audiences enjoy a lively,Spanish-language musical performance.
Two Asian women with short black,hair talking with each other.
A construction crew works,on the street.
Two asian women are holding up a,"partially filled trash bag, smiling."
A man in an orange shirt,observing an orange product.
Three baseball players in the,middle of a play.
A man in taking a photo of a building,as someone rides by on a bike.
The sun is setting as a young,boy blows bubbles into the air.
"A happy, beautiful bride getting out",of a luxury car.
A man dressed in a red outfit,putting on a show in Ukraine.
Two men trying to,build a fire.
A man with a hat is,turned around looking at cards.
The man is on a piece of timber that is laying,in the middle of a body of water.
Two girls one in a gray dress the other in a,black striped dress are playing with hula hoops.
Six athletes on a track surrounded by bleachers are,commencing a race from starting blocks.
A woman sunbathing,by a pool.
A group of Asian men moving supplies into,or out of a storage unit.
"A woman walking in rain, with",a black shirt on.
"A woman in white, wearing a tiara,",the beach in the background.
"A man resting in a blue hammock, boots and pack off,",as he looks out over a flowing river.
A girl is pointing to a spot,on a map in a park.
Several people riding bikes,on a city street.
"A woman in a white shirt, black jacket and blue and black striped shirt stands next to a man in a",checked shirt and blue jeans looking through a camera focused on whoever took this picture.
A couple standing in an ally,way near the water.
"A men's tennis match on blue court, shows player",perfectly catching and returning the ball.
A football player passes the football to a,teammate as the crowd looks on.
A little boy is standing in front,of a bright red building.
A couple takes in the view,at the water at dusk.
A red PlNe is flying by the queen,Elisabeth 2 shooting out red smoke.
A woman in a small pink bikini chats on a cellphone while,a man looks on outside a city shop.
Two nuns are posing,for a picture.
Two women are walking in dirt,outside a large building.
A few people standing on a street,corner waiting to go across.
Two men sitting on a bench between,two trees overlooking an Autumn landscape.
A guy dress in a yellow polka dot bikini stands,in front of a band playing music.
"Two large cones are outside, in the street,",in front of a large building.
Two speed skaters in,mid-turn in a race.
A man and a woman are holding each other,in the green grass while smiling.
Various people doing,different activities.
An Oklahoma player is,tackled playing football
Wet girl in yellow swimsuit looks over cliff,to a swimmer in the water.
One lady balancing book,and shopping cart.
A person in a red shift and camouflage pants is bent at the,waist and has their hands against a large tree.
Two young boys holding,items from Unicef.
Two soccer players from opposing teams trying to get control,of the ball before the other player does.
A scene in a shopping mall with,streamers hanging down from above.
A woman with a red shirt is reading,sheet music and playing the harp.
Someone looking at a mass of,people in the street.
A group posses for a,photo along a wall.
Young man jumping in the water,over waves at beach
Girl wearing a pink shirt and a,pearl necklace sitting and laughing.
People wait for their order at,a street vendor cart.
Two young children in,front of a firetruck.
Young girl hanging,on a vine.
This man is running in a race (note the number on his shirt) and seems to,"be pushing it, on a paved walk right outside the city."
Old lady crosses the,street in the city.
Two women are holding hands over a,table and smiling at the camera.
A woman is carrying her child,while sifting through shallow water.
Two men with a wheelbarrow on a,"closed sidewalk, indicated by a sign."
A woman looks up from her magazine at something while,the man sitting next to her keeps reading.
Mounted policeman on horseback guard the little,boys in front of the palace.
Three girls participating in,a softball game.
A toddler in a,highchair playing with spaghetti.
A man sits on a bench near,"the beach, tying his shoe."
A lady is looking threw her,telescope out into the field.
A man in a black,hat playing an accordion.
A male in a black t-shirt and glasses posing,for a picture at his work place.
Two people are indoors in a institutional environment and,one of them is on the floor.
A group of children,learning to swim.
A film set with two people,sitting at a table.
A man in a gray t-shirt atop a ladder reaching,out to another man inside the buildings window
A man pushes a child in a blue,car while another child looks on.
A man sleeping on a couch on,the side of the road.
A blond boy is sitting in a,stroller holding a Korean language book.
Soccer players hold each other and,face towards the crowd.
Two women are sitting on the ground,working on a weaving project.
Rafts and a,helicopter over water.
Crowded street with,a clock.
Singer gets caught up on a high,note and fractures a vocal cord.
A woman with long blond-hair talks,on a mobile phone.
Two white swans,in the lake.
"A man is exiting a port-a-potty, relieved",he can smell fresh air.
Two elderly woman are smiling,and laughing at something.
A man doing a back flip,while another takes a picture.
A group of older people playing in,a band on the street.
two ladies posing,for a picture
"Two sunbathers, a man and a","woman, soak in the sun."
A man in a gray shirt with,crazy hair playing the drums.
A female runner is in front of people dressed up,as Spartans warriors and people wearing togas.
A woman wearing purple clothing is sitting at a table and looking at a laptop while another woman,sitting at the same table looks at a paper in front of her.
A woman with glasses and her hair in a braid and a girl wearing a hoodie and jeans are standing in a kitchen,drying sheets of glass or plastic while a brown dog follows another person out the door.
A man scowling is sitting in front of a,lake trying to catch a flopping fish.
A blond skateboarder in a white shirt performs a,jump in an indoor skateboard park.
A dog jumping in the air to,retrieve a stick from a man.
A surfer rides out the,green and white waves.
Young boy holding sunglasses and,wearing a bathing suit.
A male swimmer in a,blue bikini holding goggles.
Several men wearing several different colors,are attending a bike rally.
A worker using a saw,to carve into ice.
A man sitting on the ground props,his feet up against the railing.
An Asian man cooking meat,over an open grill.
A man washing windows is suspended outside a building on a seat on a rope,with a bucket hanging on the side of the seat.
A large man about to,jump off a car.
A man wearing a green shirt on,the runway fuels up a jetliner.
A woman wearing black,is hugging a child.
tattooed man in a sleeveless shirt stands in the doorway,of a pawn shop with a mop.
Pairs of people are kayaking down a peaceful river,surrounded by large trees and bushed.
A big man is,eating a potato chips
A woman and a man ride,bikes across a city street.
A man is coughing,while operating machinery.
"Blond child with large black coat, multicolored scarf, and knit",hat standing in front of a window.
"A person in blue with the word ""FRANCE"" on her back is",shooting a bow and arrow to the left.
Two young girls sit in lawn chairs in the woods,as a tin-wrapped potato cooks on a grill.
Friends are showing off,a new drink.
"Two women are standing with a young boy in a blue hat, and",the one on the left is casually checking her cellphone.
Three men are sitting at,a conference table laughing.
Several little boys,play indoor soccer.
A man is dressed in police clothes,with a helmet and shield.
"Several chairs lined against a wall,",with children sitting in them.
Girl in pink striped mittens,laughing in a crowd.
Woman and child blowing out a candle,on a cupcake in a restaurant.
A group of people walk across snow,with walking sticks in their hands.
A raft is being paddled through,a white water river.
A left hitter swings a baseball,bat at a pitched baseball.
The lady in the blue jacket is,sky driving into the south pole.
A lone man sits in a dark room before a,"desk, reading an internet article on the computer."
A large group of,people gathered at night.
The shoppers are walking,in a store.
Many people in orange in,a crowded street scene.
A woman at a,table looking down.
A girl with a pink tiara and,pink balloon and a guy laughing.
A young girl with rollerblades and,green foliage in the background.
Children play basketball,on a court.
Nude child crawling on the beach while a,man watches next to a horse.
A person in a light blue outfit is racing a,dirt bike through a course in the woods.
Two women are,playing beach volleyball.
A male soccer player,running on the field.
A track star,doing long jump.
Two people standing next to a black station wagon in,front of a person wearing a kimono.
Two woman and a man are walking on a rock path with,a baby who is riding in a red stroller.
The boy is jumping,into the large pool.
A woman wearing an olive green jacket and navy shirt looks tired,as she comes up the steps from the subway.
Girl leaning over,a white staircase.
A woman wearing an orange and black biking outfit on a white bike looks,determined as she rides down the street with onlookers watching.
A man acting silly on a,pole at a party.
Two women in red dresses are standing on a,street corner while other pedestrians walk nearby.
a woman photographed from behind as,she's walking down a sidewalk
A man and woman are dancing,in a nightclub and smiling.
A running back for a college football,team stumbling after getting the ball.
Two dogs meeting,on the beach.
An old woman entertains a small child,by placing things on her head.
A trolley heading,down the street
"A man, seated, serves food",to a little girl.
An Asian person standing in front of some mountains shows off their gun,while wearing a bright orange jacket and a hat.
Man with star tattoo wearing black t-shirt,and shorts admiring art displayed outside.
Two entertainers are performing,under red lights.
People are waving from a bus,covered in rainbow flags.
An older couple pose with a motor,"scooter, while wearing renaissance festival clothing."
A person holding a small dog on a leash,is bending over and looking through items.
"A woman stands next to a street performer wearing a bowtie,",with an architecturally beautiful building in the background.
Youth in white T-shirt on a,white surfboard in the water.
A boy wearing black sandals,runs along the grass.
A crowd of people closely watching a,rollerskater;at the summit of his run.
"Two Asians, a man and a woman, smile",and shake hands for the camera.
"A toddler sits in a bath, playing with a",yellow toy and a toy dinosaur.
Many people sit or stand around the,fountain near the Space Needle.
A Man holding flowers while a dog,sits in a bicycle crate.
A man is holding a sign,directing people to a restaurant
Two male dancers dressed in blue shirts and black pants perform a,routine in front of six women sitting beside them.
Two children get,into a van.
A tan dog is playing with,a red dog in snow.
Young men spend time,in a river.
A man kicking,a workout bag.
A man on stilts stands in front,of a line of drummers.
A man and woman are,dancing while spectators watch.
A brown and black dog jumps high in,the air after a purple Frisbee.
A baseball player,throwing a pitch.
A group of people in jeans and white shirts,are bent over a piece of wood.
A band playing outside,a Zune building.
A crowd of people watch a music,band that is under a tent.
Girl playing basketball while holding the ball in her hand from the other team in order to make a,shot in the hoop or pass the ball to one of her teammates.
A girl standing in a group wears,a black shirt and pink beads.
"A young woman in black hat, black button-down shirt, and red tie holds a drink in one",hand while making an obscene gesture at crotch-level with the other hand.
A person descends a rope from,a cliff into the ocean.
Three males wearing a yellow vest with silver stripes and jeans; one is,"digging with an excavator, and two are using shovels."
A baby boy in,overalls is crying.
A middle eastern guy,selling stuff street side.
A young man in shorts with,a backpack taking a picture.
An officer stands next to a,car on a city street.
A house is in,the middle of construction.
Old man wearing a hat and coat,sleeping sitting up on a sofa.
A man in a gray pullover and pink pants wears a rose on,his head while eating dinner with others at a restaurant.
A lovely couple is,dancing behind a stage.
A man is hanging by a line,off a cliff above water.
The man falls into the water while his,paddle flies and his kayak tips.
A woman stands in the road looking off,at the buildings in the distance.
Three women and a man dressed as,"the ""naked cowboy"" in New York."
A man curls up while sitting on a,couch in a busy public area.
A plane flies with a cloud,of smoke behind it.
A woman with short dark hair,is holding a glass.
A black car is racing,down a dirt road.
A dark-skinned male with dark hair stands outside of a building with a display of,sunglasses in one hand and one hand above his head.
A bustling sidewalk lights,up as darkness nears.
Young child makes a,mess in a highchair.
The boy is going to,dive in the river.
A young girl plays in the,sand on a beach.
A girl wearing pink goggles is underwater as water escapes in the,form of bubbles from her mouth and nose.
A teen boy doing a bicycle,trick on a bike ramp
A man rides his bike down,a busy street amidst citizens.
"Small yachts in harbor,",city in background.
A deer jumping,over a fence.
A construction worker with a barbed wire tattoo and a white hard hat is bending over,while a stack of bricks are on the wall behind him.
Two well dressed custodians sweep,an intricately decorated Mosque.
"Very busy store, lots of","people, they sell Carnhart."
Two children are putting their faces into,a knight and royal woman's picture.
A woman catching some rays and,sleeping in the grass.
5 middle-aged men are playing instruments,in a white living room.
A closeup of a girl holding a,heart necklace and looking at it.
A vendor is seen in this picture pushing a,cart containing sodas on the street.
Two men are walking in front of a,"blue building, both are wearing backpacks."
A line of construction workers walk along,a train track under an overpass.
A boy dribbling a,basketball in a gym.
A little girl is,using the vacuum cleaner.
A person wearing a red and black uniform is holding a bat and wearing a red,batter's helmet while a girl sits behind in the same uniform.
Two people participating in a fencing activity are being watched,by a third person sitting on bleachers.
A catcher in a baseball game in the act of,tagging out a base runner at home plate.
A blond woman in a pencil skirt and sandals walks,down a street with other people behind her.
"A white double horned goat standing on a platform looking at two young boys, one in",a red shirt and the other in red white and black shirt.
Young boy leaps,from a swing
A young man goes air-born while,his skateboard spins underneath him.
Two girls pick yellow,flowers in a field.
a young girl wearing a blueish green,shirt standing at the kitchen counter.
A romantic view of a building after,sunset with sunset colored landscape lights.
A man and a woman are,dancing in a crowd.
Three men and a young boy are outdoors,looking at a green model train.
The paint on a shirtless man's forehead mirrors,graffiti on the wall behind him.
A man in a blue shirt is,writing sentences on a chalkboard.
"Two short, fat people",walk down the street.
A man in a green shirt,is holding a protest sign.
A young boy reaches out to touch a large bubble,in the middle of a small crowd.
Men are constructing a,wall in the desert.
A woman giving a speech in,front of a crowd.
"A man with white hair, wearing a white shirt and blue pants, stands in front of a group of elderly men",sitting outside next to a paved gray path on which a black dog sits.
a black dog swimming,through a river.
A woman in black,sitting on a train.
Man in black with orange kayak paddles through,a rapid with clear blue water.
Two men play their instruments,while a third sings.
Two men are eating,food in a cafeteria.
A woman is signaling is to,"traffic, as seen from behind."
A girl is playing in,the ocean at dusk.
Female tennis player about to,hit a tennis ball.
A bunch of people walking up,and down a subway station.
This women is enjoying the nice hot summer weather in,the tropical while enjoying a nice refreshing drink.
A old man with a blue head piece,on is hammering near a rock.
"A woman in a blue shirt attempting to take a picture of a man in a wheelchair, two men dressed in military uniform, a","woman in a white shirt, a man in a suit and a man in a blue shirt."
The police are putting up a do not,"cross line, while many spectators watch."
A female student resting her head on a,textbook while sitting at a library.
A little boy with a black jacket and black jeans on is,holding up a blue brochure for the camera.
A kid playing in,a swimming pool.
A man in a gray shirt is trimming the,hair of another man sitting down.
The dogs run and play,on the baseball field.
Woman carrying notebooks looking at a,man in a parking lot.
Muslim men are praying,in the street.
Two people are displaying a,form of martial arts.
a woman working on,her computer reading.
People are seated among some pillars,while another person walks by.
Two dogs walking through tall grass carrying,a tree branch in their mouths.
A baseball player,hitting the ball
A young kid,"smiling, looking joyous."
People lean over,in the snow.
A man on rollerblades,grinds a wall.
An onlooker sits on the shore of,a pool overlooked by massive waterfalls.
A group of people are sitting on benches at,a park with pigeons walking around.
A man in a bowling alley getting ready to,throw the bowling ball down the lane.
A shirtless man wearing black pants is breathing fire in the,evening in front of buildings and a road.
A group of people,race with boats.
"Two girls, one wearing a red shirt and one wearing a gray and","blue shirt, are balancing on poles up in the air."
people stand outside,a building.
"A man with headphones in, is sitting",on a bus or train.
Two mountain climbers walk through a pass,with snowy mountains behind them.
A large group of people shopping,in a marketplace at night.
A line is beginning to form,at The Cheap Tab Shop.
Three women walk through a,plant covered atrium hallway.
A man with no shoes on is,watching the sunset over a town.
A person wearing a yellow shirt,talks to a little kid.
Three women stand together in,a room and smile.
Two children are walking towards a house,with a red van parked outside.
A boy in a black t-shirt,gets ready to throw.
A young girl sits on the edge of a stream,in pink polka dot pants with no shirt.
A group of people pose in a,celebratory way for a picture together.
A woman EMT is,looking at a foot.
A barefoot boy in shorts and a,t-shirt jumps in muddy grass.
There is a group of people in blue and black uniforms and black hats with either red,or green plumes on a street surrounded by a crowd of people.
Two teams competing in,a soccer game.
Guy in gold getting a shoeshine,from a street vendor.
a man wearing glasses is seated holding a small dog,on a leash and a long neck bottle
Big brown dog chews,on bone lying down.
A closeup of a small boy smiling,while holding onto some playground equipment.
There is a small crowd of people in front of,a building near the row of motorcycles.
A woman in a brown coat with a pink scarf looks,pensive while talking on the phone in public.
A boy in a brown shirt is,doing a trick on his skateboard.
A snowboarder in a red jacket,jumps in the air.
A woman is washing,something in a sink.
Two people observe a man constructing a,deck by a body of water.
A red-haired woman carries a baby on,her chest in a carrier.
Man on laptop computer sitting next to,a woman at a table.
A group of people are talking to,each other in a bar.
A boy is climbing up a rock-climbing wall while,an older boy stands on the ground
an infant with a,toothbrush in a sink.
Three dogs racing on a grass,track wearing different colored jerseys.
A group of dancers,takes their bows.
People fishing off,of a boardwalk
A large huddle of young people in swimwear reaching their,hands toward the center of their huddle.
Two young boys in uniforms eating rice with their,hands while sitting on the ground.
Two dogs confront each other in,the middle of a field
Many people help realign a vehicle,on a snowy street.
"A girl, wearing white shorts and a green top, is swinging on a rope swing",and there is a large red building in the background.
A man and a girl are sitting,down and have a drink.
Boy runs through the,airport towards woman.
A bunch of people laying or,sitting on the ground outside.
one man wearing a black hoodie sweatshirt and another,wearing a box over his head
A woman is looking into a,mirror and applying makeup.
The brown and white bog has a,red item in its mouth.
"A smiling, shirtless boy in flip-flops is",popping a wheelie on his bike.
A guy and girl waling with,their instruments and speakers.
A woman stops to view the text message on her phone,as she makes her way through the city.
Three men and a woman celebrating,on a basketball court.
"A child wearing bluish baggy shorts and shirt with a striped baseball hat, taking a picture",with a camera placed on tripod stand in a grassy mountainous region.
A man and a woman wearing coats are facing standing outside facing,"each other, but not looking at each other."
A woman rock dives feet first arms above,head as another woman swims away.
A shirtless man in gray shirts is getting ready to hit a volleyball,coming towards him while on a beach playing volleyball.
Two men playing a,sport with each other.
Several men in blue shirts and western,hats observe cattle behind a fence.
She is standing in front of a vintage,car and ready to play guitar.
A woman stands atop,a waterside piling.
